LATITUDE,LONGITUDE,ELEVATION,TMAX
41.2468,-109.5966,1853.2,28.4
30.8489,-89.0342,83.8,61.1
39.3062,-102.26085,1268.6,45.3
27.4467,-82.5014,6.1,70.1
33.355,-81.3279,96.6,57.6
36.3805,-84.8744,501.4,46.1
35.5453,-82.6987,682.8,47
44.9633,-92.3905,335.3,18.8
37.2039,-80.4144,641,39.5
46.3433,-94.2086,359.7,15.7
45.0733,-107.8886,2218.9,30.4
32.355,-89.4692,147.8,56.7
35.3333,-83.8167,640.1,49.6
37.26136,-93.59127,344.1,41.7
37.6164,-93.3914,300.8,41.4
39.1814,-105.2672,2286,44.1
37.2504,-86.2325,240.8,43.3
35.7595,-91.6384,88.4,47.9
34.8083,-119.0125,1493.5,51.1
33.405,-118.41583,488.3,59.8
41.8975,-78.7144,506,29.6
45.43,-121.86,1112.5,40.4
40.7392,-92.4142,261.5,35.3
45.9808,-90.5416,478.5,15.7
38.1873,-80.1336,655.3,37.3
40.82915,-75.08339,80.2,38.1
44.0397,-118.4164,1969,33.8
30.1591,-96.3972,95.4,59.9
38.9803,-80.2201,443.5,40.2
42.65,-109.26,2767.6,31.1
42.3653,-112.7056,1950.7,32.8
36.2356,-121.785,137.2,61.8
42.89779,-106.47371,1620.9,35.5
31.3944,-92.7163,33.5,55.8
41.75,-117.53,2107.7,39.8
35.1889,-120.0833,1149.1,53.7
39.6097,-110.2944,3109,30.3
42.89139,-73.24694,251.8,29.9
47.5688,-122.6827,33.5,49.1
35.1866,-102.0797,1164,50.4
47.9262,-112.2919,1231.1,38.4
42.5522,-99.8555,765,35.7
34.7752,-86.9508,210,52.4
41.5638,-103.3677,1264.6,42
25.9141,-97.423,7.3,72.1
43.8397,-110.3708,2511.6,27.6
44.7853,-107.5347,2360.1,32.3
34.46,-111.41,2225,44.9
34.12306,-84.84861,232.6,52.1
35.4945,-82.6142,655.6,46.9
40.5981,-121.0831,1722.1,43.7
45.4441,-105.4072,924.2,37.7
33.2547,-81.2361,74.7,60.1
44.1613,-88.0802,246.9,23
38.9875,-123.3486,196.3,59.4
29.6101,-100.452,536.4,60.5
37.1317,-122.17,801.6,54.6
39.4052,-105.4765,2362.8,35.5
36.51,-106.32,2834.6,34.2
35.1131,-89.2122,140.2,50.5
45.3028,-93.1011,274.3,21.8
39.93468,-77.25459,219.5,37
45.6602,-69.8119,325.8,21
31.1681,-81.5022,4,63.4
34.8491,-89.1598,183.8,49.7
44.95,-116.14,1630.7,31.7
27.21785,-81.8742,7.6,72.6
30.2625,-98.6289,457.2,59.3
33.1524,-100.2333,509,56.3
