LATITUDE,LONGITUDE,ELEVATION,TMAX
37.0769,-111.6638,1249.7,42.5
48.1737,-111.9502,1082,39.1
35.8717,-117.9183,1264.9,53.2
32.8569,-116.6222,1060.7,59.6
41.92,-113.41,2744.7,29.2
44.51,-111.13,2490.2,27.1
47.8205,-112.1921,1172,41.8
37.2319,-119.5083,963.2,56.9
38.2769,-120.3113,1431,46.2
33.72,-117.723,164.6,66.5
44.42,-111.39,1917.2,32.9
47.864,-112.0222,1140.3,39
48.8978,-115.0644,771.8,35.4
39.2636,-118.9433,1368.6,47.4
43.5397,-109.6552,2119.9,36.6
37.5586,-113.7172,1627.6,40.7
38.5155,-118.6208,1341.1,50.8
41.9111,-119.9389,1778.5,39
45.9267,-117.5883,1280.2,40
36.6778,-110.5411,2220.8,36.5
42.1039,-123.6853,423.4,50.6
36.5625,-117.4736,2097,44
42.99,-113.16,1543.5,31.1
44.7578,-117.9711,2004.4,32.9
45.8677,-121.9733,345.6,40.1
39.3094,-111.3228,2651.8,34.4
48.97,-115.95,1966,33.2
47.6575,-118.1615,722.1,33.5
32.9903,-116.0669,231.6,66.3
45.7,-118.11,1499.6,34.1
33.8647,-117.8425,71.6,69.9
38.9056,-120.6972,1426.5,50.7
36.7939,-112.0422,1999.5,40
34.7331,-120.0067,975.4,57.3
40.8892,-123.1422,1432.6,46.2
40.38,-115.53,2438.4,37.6
48.1156,-120.1031,1085.1,35.7
37.9917,-122.055,5.5,61.4
40.6189,-111.7836,1519.7,37.7
39.0308,-123.0806,817.5,53.7
47.8678,-112.6681,1585,39.2
43.4863,-110.7615,1892.8,23.5
48.4167,-123.2333,15,47.3
48.2975,-117.4039,792.5,35.1
39,-115.42,2657.9,36.8
36.0117,-121.2417,335.3,61.2
44.83,-118.19,1783.1,37.1
36.8422,-121.3622,123.1,62.5
39.1077,-113.9533,1517.9,41.9
43.8,-113.8333,2383.5,30.9
42.2056,-121.1389,1499.6,44
40.7808,-115.1853,1905,34.5
48.98,-115.82,1295.4,30.6
39.2774,-120.7102,1608.1,47.2
42.0945,-121.9021,1254.6,42.5
43.8544,-116.4663,728.5,42.4
48.9833,-123.5667,6,45.9
49.3,-117.6333,496,35.9
40.2692,-110.5622,2246.1,33.3
35.9717,-118.545,1432.6,52.5
44.2436,-112.2005,1661.2,29.4
45.3686,-122.3311,226.8,49.9
37.5422,-122.0158,11.6,60.7
44.87,-118.11,1679.4,36.5
40.6564,-118.1631,1298.4,44.4
43.4669,-114.2577,1582.5,34.7
48.31,-116.07,1645.9,30.8
47.8667,-115.625,716.3,36.4
35.145,-111.675,2133.6,45.1
35.8103,-110.2069,1885.5,46.8
38.96634,-112.3279,1560.6,37.1
36.7672,-119.7092,103,63.7
31.6753,-110.88,2170.2,55.8
40.5017,-119.1217,1392.9,45.6
42.5416,-113.7661,1266.1,38.5
43.5666,-116.2405,857.7,43.8
47.87,-123.08,1222.2,43.4
45.788,-111.1608,1349.3,34.2
44.8428,-117.8086,1024.4,40.5
48.9,-115.0167,853.4,34.3
48.6033,-112.3752,1169.8,37.3
45.2575,-112.5544,1585,36.4
48.5353,-118.6889,990.6,35.6
45.9647,-112.5006,1678.2,33.5
43.27,-115.35,1740.4,35.3
40.9316,-121.5433,919,49.9
47.8344,-120.0005,363.9,35.4
42.27,-110.81,2493.3,29.3
42.5522,-124.0578,75.3,53
44.7241,-122.2547,371.9,46.7
36.2472,-121.7802,61,61.6
46.6056,-111.9636,1166.8,35.5
43.519,-112.0639,1442.6,27.9
41.0547,-120.3375,1711.5,40.2
47.4733,-111.3822,1116.8,39.9
47.3078,-119.5154,381.6,39.7
36.7944,-113.7567,2158,40.1
41.67,-116.07,2026.9,38.9
49.0333,-122.3667,59,47.8
41.83,-115.45,2450.6,38.1
41.58,-120.3,2142.7,38.8
48.69,-117.18,1524,30.2
45.5697,-115.4527,1749.6,30.1
48.2005,-122.128,30.5,50.9
45.209,-112.639,1563.3,36.6
39.5633,-120.8238,888.5,49.2
38.5908,-120.9336,275.8,59.7
42.6261,-117.395,1389.9,40.7
47.68914,-119.10635,580.9,35.9
46.1569,-123.8825,2.7,52
43.95,-110.45,2142.7,27.9
36.4381,-115.3601,888.2,54.3
46.9727,-123.9302,3.7,51.5
49.2833,-121.2333,688,36.9
41.2694,-123.1875,1815.4,46
47.71,-123.46,1484.4,42.6
39.5619,-120.0478,1821.5,41.8
47.3889,-115.4225,963.2,32
49.2667,-122.5667,147,45.1
